name,anxiety,optimistic,party,religious,riding,terror,total words
Alupa Clarke,0.003318571279904721,0.006567764763017009,Conservative,0.0006359631372639709,Beauport—Limoilou,0.0010637928841506423,86483
Amarjeet Sohi,0.007305306685044797,0.00890420399724328,Liberal,0.000523776705720193,Edmonton Mill Woods,0.0008545830461750516,36275
Andrew Cash,0.004370324690993914,0.005281926160280987,New Democratic Party,0.00030386715642902466,Davenport,0.001385276742544083,111891
Andrew Kania,0.005702628772775743,0.005864898697204321,Liberal,0.00141406648430618,Brampton West,0.00282813296861236,43138
Andrew Leslie,0.0026885217466718703,0.010927540002601795,Liberal,0.0004336325397857855,Orléans,0.002645158492693292,23061
Andrew Saxton,0.005307878195179681,0.009524416948359801,Conservative,0.00021968521235056092,North Vancouver,0.002700002125985926,141111
Andrew Scheer,0.001774812737898263,0.004399334903699598,Conservative,0.0003015755283684764,Regina—Qu'Appelle,0.001593459886379382,490756
Andrew Telegdi,0.003053671027652279,0.007814454533413784,Liberal,0.0008461979956144869,Kitchener--Waterloo,0.002729908316286736,135902
André Arthur,0.0021586616297895305,0.007015650296815974,Independent,0.0,Portneuf--Jacques-Cartier,0.0005396654074473826,1853
André Bachand,0.00314239131424824,0.007086320123145306,Conservative,0.0005556112178815728,Richmond--Arthabaska,0.0009290548233429578,109789
André Bellavance,0.0035011330939831438,0.00639752501718738,Independent,0.00021961653044076082,Richmond--Arthabaska,0.0017251037608535125,314184
André Harvey,0.0033979588148112445,0.009338361991059271,Liberal,0.0003012374835825571,Chicoutimi--Le Fjord,0.002024315889674784,82991
Andy Burton,0.004553030611000447,0.007805195333143624,Conservative,0.00028456441318752793,Skeena,0.0012737645161727442,73797
Andy Fillmore,0.0033311475409836065,0.008734426229508197,Liberal,0.00013114754098360657,Halifax,0.0017049180327868853,38125
Andy Mitchell,0.005918885742413009,0.0065265742169934,Liberal,0.00012153769491607823,Parry Sound--Muskoka,0.0010695317152614884,82279
Andy Savoy,0.0038513243469098573,0.009991643352832176,Liberal,0.001671329433564655,Tobique--Mactaquac,0.001671329433564655,27523
Andy Scott,0.003184777569490637,0.008486021245288343,Liberal,0.000745802342222491,Fredericton,0.0013908205841446453,49611
Angela Vautour,0.006833974616665709,0.006345833572618159,New Democratic Party,0.00025842761155458566,Beauséjour--Petitcodiac,0.001320852236834549,34826
Angelo Iacono,0.008926893441082504,0.01033640293177974,Liberal,0.0011276075925577898,Alfred-Pellan,0.0017853786882165007,10642
Anita Neville,0.0035201810378819483,0.00752610134235475,Liberal,0.0005314559034464629,Winnipeg South Centre,0.0028058585870130463,174991
Anita Vandenbeld,0.004204847475108096,0.009639414494823277,Liberal,0.00031734697925344123,Ottawa West—Nepean,0.00257844420643421,25209
Anju Dhillon,0.006374243733794295,0.007346585998271392,Liberal,0.001134399308556612,Dorval—Lachine—LaSalle,0.0069684528954191876,18512
Anne McLellan,0.0029259112228544543,0.009360955503604704,Liberal,0.0003332696200236229,Edmonton Centre,0.0037345801537941275,204039
Anne Minh-Thu Quach,0.005943030805874977,0.005835823191337625,New Democratic Party,0.0002750108372914695,Salaberry—Suroît,0.0021627970932752857,214537
Anne-Marie Day,0.004244286797357305,0.006146431279107549,New Democratic Party,0.00025046030542618866,Charlesbourg--Haute-Saint-Charles,0.0025181414491497888,147728
Annick Papillon,0.0048022101291405155,0.006554367878962055,New Democratic Party,0.0002873909536744324,Québec,0.0016130976109468142,107867
Anthony Housefather,0.0052513873933570775,0.008034457052928021,Liberal,0.0004472790524310445,Mount Royal,0.0019216433363704133,60365
Anthony Rota,0.0030202976172362373,0.0051048355193086025,Liberal,0.0002434496819938529,Nipissing—Timiskaming,0.0009661909254131037,131444
Antoine Dubé,0.002701731802601446,0.0070274962954093015,Bloc Québécois,0.0003667170590788666,Lévis-Et-Chutes-De-La-Chaudière,0.0014593842147016122,133618
Arif Virani,0.0043552566293621475,0.010557362588896852,Liberal,0.0008820772920227135,Parkdale—High Park,0.0027702739952588347,72556
Arnold Chan,0.0025609409086597744,0.006520914350754055,Liberal,0.0004979607322394005,Scarborough—Agincourt,0.0022052546713459166,42172
Arnold Viersen,0.004359798072510326,0.007003611548975398,Conservative,0.0009477821896761578,Peace River—Westlock,0.0022447472913382682,100234
Art Eggleton,0.005736569720825133,0.008171149500692471,Liberal,0.0002332531525621401,York Centre,0.005189882644507617,137190
Art Hanger,0.0038136040960221325,0.00766563241467421,Conservative,0.001143120623240891,Calgary Northeast,0.0025936350275213493,104101
Bal Gosal,0.004778308700966774,0.01277919768863207,Conservative,0.000333370374486054,Bramalea--Gore--Malton,0.00166685187243027,8999
Bardish Chagger,0.003443017130881431,0.010497459839263494,Liberal,0.00034617291805057865,Waterloo,0.0014314717962632037,106883
Barry Devolin,0.001270918364490429,0.0035888047208738542,Conservative,0.0001511665015032669,Haliburton--Kawartha Lakes--Brock,0.0005654746908085168,178611
Belinda Stronach,0.005171255876427133,0.008159838817998658,Liberal,0.00043653458697112153,Newmarket--Aurora,0.0017797179314976495,29780
Ben Lobb,0.005388962311443285,0.006778927220525908,Conservative,0.00041015357972929865,Huron—Bruce,0.0015494690789773504,87772
Ben Serré,0.003006460692125632,0.008827480330071004,Liberal,0.00012793449753726091,Timiskaming--Cochrane,0.0011514104778353484,15633
Benoît Sauvageau,0.002215786385709114,0.006853333666221429,Bloc Québécois,0.0004057073663974434,Repentigny,0.0009799393311445942,160214
Bernadette Jordan,0.006565857540787903,0.008804218066056507,Liberal,4.974134500596896e-05,South Shore—St. Margarets,0.0021388778352566654,20104
Bernard Bigras,0.0025735579438573826,0.0072425127739099305,Bloc Québécois,0.00029791186315080597,Rosemont--La Petite-Patrie,0.0014369866340215348,399447
Bernard Cleary,0.003381384588004983,0.009432283324434953,Bloc Québécois,0.0005339028296849973,Louis-Saint-Laurent,0.0005339028296849973,16857
Bernard Généreux,0.0037646402677077523,0.007180702732849972,Conservative,0.0002614333519241495,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,0.0015860290016731734,57376
Bernard Patry,0.0037273348741821023,0.008610306325075687,Liberal,0.0010579771476936098,Pierrefonds--Dollard,0.0030437188710570003,61438
Bernard Trottier,0.004157772103860589,0.00865039833689116,Conservative,0.0003767108953162279,Etobicoke--Lakeshore,0.0040182495500397635,71673
Bernard Valcourt,0.0023120758360874235,0.006337807880098467,Conservative,0.00020400669141947857,Madawaska--Restigouche,0.001264841486800767,73527
Beth Phinney,0.004149568905896998,0.011065517082391996,Liberal,0.0011526580294158328,Hamilton Mountain,0.0019364654894185992,21689
Betty Hinton,0.0043880382283424104,0.008169766724899805,Conservative,0.0011715137190422362,Kamloops--Thompson--Cariboo,0.0016236769088480115,97310
Bev Desjarlais,0.004681732240929144,0.008096072469890782,Independent,0.0005055716769050703,Churchill,0.002455139170723937,288782
Bev Oda,0.0057212791785238104,0.008885395315516109,Conservative,0.00030845157310302283,Durham,0.00406957075481085,100502
Bev Shipley,0.004562516473229299,0.008379761331309587,Conservative,0.0009906659274541703,Lambton—Kent—Middlesex,0.001954065820207767,110027
Bill Blaikie,0.0025477330350300973,0.0064383234241137755,New Democratic Party,0.0006430931548770362,Elmwood--Transcona,0.0015449019467735697,405851
Bill Blair,0.0034744626991611654,0.009840174715838586,Liberal,0.0003350374745619695,Scarborough Southwest,0.003685412220181665,80588
Bill Casey,0.003510548872076839,0.007041768296884259,Liberal,0.00022737608003638017,Cumberland—Colchester,0.002118731654884452,290268
Bill Gilmour,0.0026313722409865683,0.007697745660199513,Conservative,0.00019637106276019166,Nanaimo--Alberni,0.001767339564841725,25462
Bill Graham,0.003473404617584962,0.009705101137369746,Liberal,0.000656736167190434,Toronto Centre,0.0031961160136601123,205562
Bill Matthews,0.0029962106747348943,0.005199306759098787,Liberal,0.00029374614458185235,Random--Burin--St. George's,0.0010281115060364833,34043
Bill Morneau,0.007885334383789798,0.008320720944857947,Liberal,8.984167133152268e-05,Toronto Centre,0.0005321391301944036,144699
Bill Siksay,0.004827643638012315,0.007318957580580243,New Democratic Party,0.0005019639048628043,Burnaby--Douglas,0.0026185398170723243,432302
Blaine Calkins,0.0033070793132401652,0.0070417093788151175,Conservative,0.0004275507523347877,Red Deer—Lacombe,0.0016226323733187725,194129
Blair Wilson,0.003311867525298988,0.008049678012879485,Independent,0.0005059797608095676,West Vancouver--Sunshine Coast--Sea to Sky Country,0.001609935602575897,21740
Blake Richards,0.003979181930724337,0.008406811348879512,Conservative,0.0002905434425608246,Banff—Airdrie,0.0025769940122786186,158324
Bob Benzen,0.0029817953546767105,0.007532956685499058,Conservative,0.0009416195856873823,Calgary Heritage,0.0009416195856873823,6372
Bob Bratina,0.00333657722786042,0.008063394967329348,Liberal,0.0006256082302238288,Hamilton East—Stoney Creek,0.0020853607674127623,14386
Bob Dechert,0.004138437406134232,0.009204685779127591,Conservative,0.0007943129860160865,Mississauga--Erindale,0.003030404165137002,149815
Bob Kilger,0.0003865694720565496,0.0034791252485089465,Liberal,0.0007731389441130992,Stormont--Dundas--Charlottenburgh,0.0002208968411751712,18108
Bob Mills,0.004275358056642061,0.006017851366055936,Conservative,0.00029409169779137136,Red Deer,0.0012351851307237597,272024
Bob Nault,0.003020459337778538,0.006867270758534222,Liberal,0.00025645409471704566,Kenora,0.0007836097338576395,70188
Bob Rae,0.0031433534618247995,0.006299114897841012,Liberal,0.0005418148730250641,Toronto Centre,0.0027214823393167343,241780
Bob Saroya,0.004458053766830279,0.007812851803485387,Conservative,0.0008105552303327779,Markham—Unionville,0.002499211960192732,44414
Bob Speller,0.004874052836371084,0.008765103420028671,Liberal,0.00040958427196395656,Haldimand--Norfolk--Brant,0.002314151136596355,48830
Bob Wood,0.004609665427509293,0.009739776951672862,Liberal,0.002007434944237918,Nipissing,0.001933085501858736,13450
Bob Zimmer,0.004003563735606906,0.008277790935029491,Conservative,0.00048493870600309005,Prince George—Peace River—Northern Rockies,0.0017705901591275614,88671
Bobby Morrissey,0.003026134800550206,0.00797799174690509,Liberal,0.0004126547455295736,Egmont,0.0009628610729023383,7270
Bonnie Brown,0.004794029703214965,0.0074752267279511704,Liberal,0.0003336051597598043,Oakville,0.0026317740381051227,80934
Bonnie Crombie,0.005219897939308948,0.008414163842468155,Liberal,0.0014802695648786569,Mississauga--Streetsville,0.002123018191733863,51342
Borys Wrzesnewskyj,0.004232274506234641,0.007429234549922636,Liberal,0.0013083644306908164,Etobicoke Centre,0.0030718121416219166,87896
Brad Butt,0.0054713639047431605,0.009578167027488028,Conservative,0.0005379518467493276,Mississauga--Streetsville,0.0024404644754969494,76215
Bradley Trost,0.005002818489289741,0.0072576099210823,Conservative,0.0005496054114994363,Saskatoon—University,0.0014374295377677564,141920
Brenda Chamberlain,0.006749250083324075,0.008665703810687701,Liberal,0.0005832685257193645,Guelph,0.0014720586601488722,36004
Brenda Shanahan,0.004735433395099856,0.00934733374511015,Liberal,0.0010294420424130121,Châteauguay—Lacolle,0.0007823759522338893,24285
Brent Rathgeber,0.002828817151565045,0.009371004186299067,Independent,0.0003415599656688445,Edmonton--St. Albert,0.0038447391007339162,114182
Brent St. Denis,0.004549437217766395,0.009267372110264878,Liberal,0.0005139179079328705,Algoma--Manitoulin--Kapuskasing,0.0014322302352227539,118696
Brian Fitzpatrick,0.0025624438152688045,0.007242054323808884,Conservative,0.000823342602938829,Prince Albert,0.0021927797894595344,119027
Brian Jean,0.0034461207270707105,0.008181281574972657,Conservative,0.0002734327529035954,Fort McMurray--Athabasca,0.0021701012135205986,230404
Brian Masse,0.003393426593983857,0.005912934003923849,New Democratic Party,0.0002604183308942414,Windsor West,0.0017606196358616812,625916
Brian Murphy,0.0026932901772256336,0.006366319196534818,Liberal,0.00034112364542180333,Moncton--Riverview--Dieppe,0.0021221063988449396,252108
Brian Pallister,0.002938382998931497,0.007909889588032768,Conservative,0.0006529739997625549,Portage--Lisgar,0.00278997981716728,134768
Brian Storseth,0.00512254937528116,0.01110127555832886,Conservative,0.0007981309224942317,Westlock--St. Paul,0.0015672389023523095,68911
Brian Tobin,0.001477160821149913,0.006211650632527839,Liberal,0.00011362775547307023,Bonavista--Trinity--Conception,0.001477160821149913,26402
Brigitte Sansoucy,0.007124852965888086,0.006570324315241136,New Democratic Party,0.0003108721223323811,Saint-Hyacinthe—Bagot,0.0015039489161485465,119020
Bruce Hyer,0.00485294012074919,0.007645534361831195,Green,0.00035176636969927563,Thunder Bay--Superior North,0.0022541763282769908,139297
Bruce Stanton,0.001946663624621431,0.004099401281338892,Conservative,0.00013983595035087785,Simcoe North,0.001107647922516164,271747
Bryan Hayes,0.003635051889672013,0.010683167767356679,Conservative,0.0007214606803929186,Sault Ste. Marie,0.0059104278816804485,36038
Bryan May,0.004459308807134894,0.007455406911928651,Liberal,0.0013935340022296545,Cambridge,0.002926421404682274,14352
Bryon Wilfert,0.004397958728222219,0.008114501658905272,Liberal,0.0005266838260455566,Richmond Hill,0.0018508324282504873,336065
Candice Bergen,0.005510122372286067,0.007781561307048596,Conservative,0.0006421869239642754,Portage—Lisgar,0.0030840828817543593,252263
Carla Qualtrough,0.004667256779592822,0.01094391244870041,Liberal,0.0003218797779029532,Delta,0.0019312786674177194,12427
Carmen Provenzano,0.0027210884353741495,0.01096438575430172,Liberal,0.0024009603841536613,Sault Ste. Marie,0.0009603841536614646,12495
Carol Hughes,0.004671513532584043,0.005720477798498059,New Democratic Party,0.0003654049695075853,Algoma—Manitoulin—Kapuskasing,0.001729373519479865,317456
Carol Skelton,0.005753749403223416,0.007795136888201109,Conservative,0.0005597352781390448,Saskatoon--Rosetown--Biggar,0.00308677543091385,121486
Carole Freeman,0.003511970188466797,0.0074126699016112164,Bloc Québécois,0.0002412803946274899,Châteauguay--Saint-Constant,0.0016353448969196537,74602
Carole Lavallée,0.003300364888342055,0.006310297666510009,Bloc Québécois,0.0003907632027796993,Saint-Bruno--Saint-Hubert,0.0012726207009446965,189373
Carole-Marie Allard,0.0046274242939775435,0.009617783826698423,Liberal,0.00038561869116479527,Laval East,0.0014744244073948054,44085
Caroline St-Hilaire,0.00343373705048995,0.008327396316324266,Bloc Québécois,0.00037374008712815783,Longueuil--Pierre-Boucher,0.0017519066584132399,85621
Carolyn Bennett,0.005423892974968976,0.006991737038045945,Liberal,0.00043887526862193164,Toronto—St. Paul's,0.0029540845667241746,330390
Carolyn Parrish,0.004064812738282126,0.008101592285265755,Independent,0.0003083651042834716,Mississauga--Erindale,0.002046422964790312,35672
Cathay Wagantall,0.006209573091849935,0.008198576972833117,Conservative,0.002021345407503234,Yorkton—Melville,0.0023447606727037516,61840
Catherine Bell,0.005776651634199637,0.005753405551164629,New Democratic Party,0.0001743456227625645,Vancouver Island North,0.0017434562276256451,86036
Catherine McKenna,0.005231534238060707,0.00962136123484927,Liberal,0.0001294934217341759,Ottawa Centre,0.0012431368486480886,77224
Cathy McLeod,0.005037766545622187,0.008007643507862323,Conservative,0.00022048580372086498,Kamloops—Thompson—Cariboo,0.002234924283170586,299339
Celina Caesar-Chavannes,0.0052181253117446185,0.007462686567164179,Liberal,0.0008249242220772743,Whitby,0.0024364040977631124,52126
Chandra Arya,0.006066677798185562,0.00940613346691156,Liberal,0.0037847164245561307,Nepean,0.0021149885901931317,17967
Charles Caccia,0.0031324841206483633,0.007740099267640832,Liberal,0.0003470896532574364,Davenport,0.0024643365381277985,115244
Charles Hubbard,0.003399510470492249,0.009654609736197988,Liberal,0.0003852778533224549,Miramichi,0.0009291995286012148,44124
Charlie Angus,0.004894220796812531,0.005270488820050844,New Democratic Party,0.0005089880168896454,Timmins—James Bay,0.002498419674302399,730862
Charlie Penson,0.0037529643384491477,0.0060908765492863216,Conservative,0.00021813056512595642,Peace River,0.0015772517786030694,178792
Charlie Power,0.0025177290084343923,0.00667198187235114,Conservative,0.00041962150140573205,St. John's West,0.0011749402039360497,23831
Charmaine Borg,0.004610347899960631,0.007107187998590995,New Democratic Party,0.00030044963842440064,Terrebonne--Blainville,0.0029734153871656204,96522
Cheryl Gallant,0.0037516934727481153,0.007367330160604903,Conservative,0.0007092321765611793,Renfrew—Nipissing—Pembroke,0.003398524797072753,345444
Cheryl Hardcastle,0.005610237618418623,0.007456644935872853,New Democratic Party,0.0008521879926711832,Windsor—Tecumseh,0.0022156887809450763,70407
Chris Alexander,0.0036018599111273994,0.008308901003252553,Conservative,0.00035503229648632553,Ajax--Pickering,0.0037908287140959273,174632
Chris Axworthy,0.003949967083607637,0.005266622778143515,New Democratic Party,0.0003291639236339697,Saskatoon--Rosetown--Biggar,0.0009874917709019092,3038
Chris Bittle,0.0045490303382700005,0.008140370079009474,Liberal,0.0023258200225741354,St. Catharines,0.001197113246913158,29237
Chris Charlton,0.004915594259725753,0.007178192429129954,New Democratic Party,0.0005100819550671941,Hamilton Mountain,0.002236951590657806,350924
Chris Warkentin,0.0040928618862401235,0.008117961158469649,Conservative,0.0005014433436784257,Grande Prairie—Mackenzie,0.002141298602734899,147574
Christian Jobin,0.0031762837480148226,0.01707252514557967,Liberal,0.0006617257808364214,Lévis-Et-Chutes-De-La-Chaudière,0.002249867654843833,7556
Christian Ouellet,0.004090088648225702,0.0075044235197880265,Bloc Québécois,0.0004979238354361724,Brome--Missisquoi,0.0015026630033698773,112467
Christian Paradis,0.003586150803186868,0.009445995156847884,Conservative,0.0004991034622992032,Mégantic--L'Érable,0.002760473470494359,162291
Christian Simard,0.005460273013650683,0.0077003850192509625,Bloc Québécois,0.0009567145023917863,Beauport,0.000653366001633415,42855
Christiane Gagnon,0.00422732593606252,0.0070400474832242425,Bloc Québécois,0.0003825037508449706,Québec,0.001955385553888513,303265
Christine Moore,0.0053405658257116625,0.006974733257402321,New Democratic Party,0.0003847340573444208,Abitibi—Témiscamingue,0.0023198320883440816,262519
Christine Stewart,0.002021952628538417,0.007317542846139034,Liberal,0.00038513383400731754,Northumberland,0.003947621798575005,10386
Chrystia Freeland,0.0036936877514675815,0.010036717015148517,Liberal,0.0004946903238572653,University—Rosedale,0.0011872567772574368,90966
Chuck Cadman,0.0029844525030219664,0.007819599016297779,Independent,0.0003251219207202701,Surrey North,0.0024425826351548497,119955
Chuck Strahl,0.0035682505259560025,0.006886045812683053,Conservative,0.0004007283827663223,Chilliwack--Fraser Canyon,0.001900513285913808,339382
Chungsen Leung,0.005388266417678182,0.01060146280734516,Conservative,0.00044740118269530034,Willowdale,0.002606598194833489,51408
Churence Rogers,0.004728132387706856,0.010506960861570791,Liberal,0.001313370107696349,Bonavista—Burin—Trinity,0.0010506960861570791,3807
Claude Bachand,0.0028993281732955273,0.006838327330319054,Bloc Québécois,0.0002861011060873119,Saint-Jean,0.0020180345875801466,391470
Claude DeBellefeuille,0.003804284209294159,0.006935502750790121,Bloc Québécois,0.00017558234812126887,Beauharnois--Salaberry,0.0020679698778727222,102516
Claude Drouin,0.004949919825242267,0.008923799121563524,Liberal,0.0004647812042481002,Beauce,0.0012549092514698706,43031
Claude Duplain,0.004576183047321893,0.010088403536141446,Liberal,0.00031201248049921997,Portneuf,0.0012480499219968799,28845
Claude Gravelle,0.004618610449960331,0.006368298764592543,New Democratic Party,0.00037543919301824774,Nickel Belt,0.0015159242887906607,141168
Claude Guimond,0.004801528444656728,0.011035973754996355,Bloc Québécois,0.00022625003142361547,Rimouski-Neigette--Témiscouata--Les Basques,0.0013072224037808894,39779
Claude Patry,0.005541651769753307,0.006542724347515195,Bloc Québécois,0.0005005362888809439,Jonquière--Alma,0.001394351090454058,27970
Claudette Bradshaw,0.003310625835614694,0.006748583434137646,Liberal,0.0005729929330871586,Moncton--Riverview--Dieppe,0.0010186541032660597,15707
Cliff Breitkreuz,0.002442598925256473,0.008304836345872008,Conservative,0.0004885197850512946,Yellowhead,0.0014655593551538837,4094
Clifford Lincoln,0.002346610206872216,0.008442503639010189,Liberal,0.0009262935027127167,Lac-Saint-Louis,0.001702615676414803,113355
Colin Carrie,0.004601337029186369,0.008341757704223055,Conservative,0.00019240176096526986,Oshawa,0.002788195010598402,306650
Colin Fraser,0.003072124019283486,0.010303431326212307,Liberal,0.0017960109651195765,West Nova,0.0004726344645051517,21158
Colin Mayes,0.005248256335888405,0.010289344658518058,Conservative,0.0005984853716363972,Okanagan--Shuswap,0.00209469880072739,43443
Colleen Beaumier,0.004239188032446093,0.009660457343170423,Liberal,0.0008559898911669996,Brampton West,0.005135939347001997,24533
Corneliu Chisu,0.004764663016872513,0.010631738261178273,Conservative,0.0006352884022496684,Pickering--Scarborough East,0.005474691231151554,53519
Costas Menegakis,0.004340359683719877,0.008633541544790626,Conservative,0.00031137362948425204,Richmond Hill,0.003028816214074088,105982
Craig Scott,0.0028597854026112565,0.005838728530331315,New Democratic Party,0.00040854077180160807,Toronto--Danforth,0.0022866934866117784,176237
Dale Johnston,0.0031221989841649237,0.007230355542276665,Conservative,0.00040334628025097104,Wetaskiwin,0.0012847325963549448,66940
Dan Albas,0.004432368641334925,0.008997388150160782,Conservative,0.0003659334275611909,Central Okanagan—Similkameen—Nicola,0.001170986968195811,218619
Dan Harris,0.004351243293731703,0.006344613912587851,New Democratic Party,0.0005011903270266884,Scarborough Southwest,0.0016516499413379503,87791
Dan McTeague,0.0033287153711943187,0.0073241194744034085,Liberal,0.0005011986212309627,Pickering--Scarborough East,0.0015414221747291873,211493
Dan Ruimy,0.006176589712434184,0.008809234507897935,Liberal,0.0008100445524503848,Pitt Meadows—Maple Ridge,0.0016707168894289186,19752
Dan Vandal,0.004991736652163648,0.009275186346925698,Liberal,0.0009106546595163412,Saint Boniface—Saint Vital,0.0015177577658605688,29649
Dane Lloyd,0.0036776814139861673,0.010648808870348008,Conservative,0.0010429245800856297,Sturgeon River—Parkland,0.00257986606652761,18218
Daniel Blaikie,0.003899958584510607,0.005522065252404399,New Democratic Party,0.0007362753669872532,Elmwood—Transcona,0.000960609267866182,173848
Daniel Paillé,0.003291097581043278,0.006595908068674237,Bloc Québécois,0.0001645548790521639,Hochelaga,0.002413471559431737,72924
Daniel Petit,0.0037007532595871692,0.008782986618802247,Conservative,0.0004840222246871502,Charlesbourg--Haute-Saint-Charles,0.003186479645857072,99169
Daniel Turp,0.002255058111112863,0.007916357844605995,Bloc Québécois,0.0002996231056723385,Beauharnois--Salaberry,0.0018135082711746803,63413
Dany Morin,0.005131581697706987,0.006981459417654314,New Democratic Party,0.00024037959072761858,Chicoutimi--Le Fjord,0.002090257310674944,95682
Darrel Stinson,0.003484531709238554,0.005529800321182923,Conservative,0.00039390358452261914,North Okanagan--Shuswap,0.0021967699906069145,66006
Darrell Samson,0.0058386937159821874,0.007817911924789709,Liberal,0.00012370113805047008,Sackville—Preston—Chezzetcook,0.0007422068283028204,40420
Darren Fisher,0.004575420643510774,0.011905933287415134,Liberal,0.0003443865000491981,Dartmouth—Cole Harbour,0.0020663190002951884,20326
Darshan Singh Kang,0.004449718184514981,0.010382675763868289,Independent,0.0026698309107089885,Calgary Skyview,0.0031148027291604866,6742
Daryl Kramp,0.0046197658474844425,0.01004113490138171,Conservative,0.0006328446366417044,Prince Edward--Hastings,0.003638856660689801,94810
Dave Batters,0.004516786019315419,0.007768871953222522,Conservative,0.0003613428815452336,Palliser,0.002989291110965114,60884
Dave Chatters,0.0031766466315006313,0.007933256982352891,Conservative,0.0004514182055290371,Westlock--St. Paul,0.001362614212985797,119623
Dave MacKenzie,0.004115833963935697,0.010618728582590452,Conservative,0.0005290907636748429,Oxford,0.005924586109521788,162543
Dave Van Kesteren,0.004600964011507173,0.010535540779972947,Conservative,0.0004953418811560517,Chatham-Kent—Leamington,0.0027624835679856733,104978
David Anderson,0.004480823366982841,0.008170913198615768,Conservative,0.0006365315307238529,Cypress Hills—Grasslands,0.0018719406142977534,557710
David Christopherson,0.0037271548725731993,0.006351577815721242,New Democratic Party,0.00038338708657433755,Hamilton Centre,0.001217352810978309,253008
David Collenette,0.0026030986080537023,0.0097930076251538,Liberal,0.00021762239167008447,Don Valley East,0.003892092774099587,119473
David Emerson,0.002666003931226136,0.009195454237364722,Conservative,0.00013555952192675268,Vancouver Kingsway,0.0018978333069745374,44261
David Graham,0.0041857571129588775,0.008326262797669551,Liberal,0.0006674585666610102,Laurentides—Labelle,0.0013009785621358673,88395
David Iftody,0.0014778111009692702,0.005041943756248098,Liberal,0.0003042552266701439,Provencher,0.00099969574477333,23007
David Kilgour,0.0045406915822563745,0.007815228780998952,Independent,0.00034928396786587494,Edmonton--Beaumont,0.0019647223192455466,22904
David Lametti,0.0039539723344350595,0.010282776349614395,Liberal,0.0005508630187293427,LaSalle—Émard—Verdun,0.002191210674501163,81690
David McGuinty,0.0035029965392082384,0.0059854048205529595,Liberal,0.0002839230491800763,Ottawa South,0.0020143189299937844,260634
David Pratt,0.0030068414773695615,0.008667494461081489,Liberal,0.0006208458111167921,Nepean--Carleton,0.004248533099603146,82146
